Reaction,rxnfp_1,rxnfp_2,rxnfp_3,rxnfp_4,rxnfp_5,rxnfp_6,rxnfp_7,rxnfp_8,rxnfp_9,rxnfp_10,rxnfp_11,rxnfp_12,rxnfp_13,rxnfp_14,rxnfp_15,rxnfp_16,rxnfp_17,rxnfp_18,rxnfp_19,rxnfp_20,rxnfp_21,rxnfp_22,rxnfp_23,rxnfp_24,rxnfp_25,rxnfp_26,rxnfp_27,rxnfp_28,rxnfp_29,rxnfp_30,rxnfp_31,rxnfp_32,rxnfp_33,rxnfp_34,rxnfp_35,rxnfp_36,rxnfp_37,rxnfp_38,rxnfp_39,rxnfp_40,rxnfp_41,rxnfp_42,rxnfp_43,rxnfp_44,rxnfp_45,rxnfp_46,rxnfp_47,rxnfp_48,rxnfp_49,rxnfp_50,rxnfp_51,rxnfp_52,rxnfp_53,rxnfp_54,rxnfp_55,rxnfp_56,rxnfp_57,rxnfp_58,rxnfp_59,rxnfp_60,rxnfp_61,rxnfp_62,rxnfp_63,rxnfp_64,rxnfp_65,rxnfp_66,rxnfp_67,rxnfp_68,rxnfp_69,rxnfp_70,rxnfp_71,rxnfp_72,rxnfp_73,rxnfp_74,rxnfp_75,rxnfp_76,rxnfp_77,rxnfp_78,rxnfp_79,rxnfp_80,rxnfp_81,rxnfp_82,rxnfp_83,rxnfp_84,rxnfp_85,rxnfp_86,rxnfp_87,rxnfp_88,rxnfp_89,rxnfp_90,rxnfp_91,rxnfp_92,rxnfp_93,rxnfp_94,rxnfp_95,rxnfp_96,rxnfp_97,rxnfp_98,rxnfp_99,rxnfp_100,rxnfp_101,rxnfp_102,rxnfp_103,rxnfp_104,rxnfp_105,rxnfp_106,rxnfp_107,rxnfp_108,rxnfp_109,rxnfp_110,rxnfp_111,rxnfp_112,rxnfp_113,rxnfp_114,rxnfp_115,rxnfp_116,rxnfp_117,rxnfp_118,rxnfp_119,rxnfp_120,rxnfp_121,rxnfp_122,rxnfp_123,rxnfp_124,rxnfp_125,rxnfp_126,rxnfp_127,rxnfp_128,rxnfp_129,rxnfp_130,rxnfp_131,rxnfp_132,rxnfp_133,rxnfp_134,rxnfp_135,rxnfp_136,rxnfp_137,rxnfp_138,rxnfp_139,rxnfp_140,rxnfp_141,rxnfp_142,rxnfp_143,rxnfp_144,rxnfp_145,rxnfp_146,rxnfp_147,rxnfp_148,rxnfp_149,rxnfp_150,rxnfp_151,rxnfp_152,rxnfp_153,rxnfp_154,rxnfp_155,rxnfp_156,rxnfp_157,rxnfp_158,rxnfp_159,rxnfp_160,rxnfp_161,rxnfp_162,rxnfp_163,rxnfp_164,rxnfp_165,rxnfp_166,rxnfp_167,rxnfp_168,rxnfp_169,rxnfp_170,rxnfp_171,rxnfp_172,rxnfp_173,rxnfp_174,rxnfp_175,rxnfp_176,rxnfp_177,rxnfp_178,rxnfp_179,rxnfp_180,rxnfp_181,rxnfp_182,rxnfp_183,rxnfp_184,rxnfp_185,rxnfp_186,rxnfp_187,rxnfp_188,rxnfp_189,rxnfp_190,rxnfp_191,rxnfp_192,rxnfp_193,rxnfp_194,rxnfp_195,rxnfp_196,rxnfp_197,rxnfp_198,rxnfp_199,rxnfp_200,rxnfp_201,rxnfp_202,rxnfp_203,rxnfp_204,rxnfp_205,rxnfp_206,rxnfp_207,rxnfp_208,rxnfp_209,rxnfp_210,rxnfp_211,rxnfp_212,rxnfp_213,rxnfp_214,rxnfp_215,rxnfp_216,rxnfp_217,rxnfp_218,rxnfp_219,rxnfp_220,rxnfp_221,rxnfp_222,rxnfp_223,rxnfp_224,rxnfp_225,rxnfp_226,rxnfp_227,rxnfp_228,rxnfp_229,rxnfp_230,rxnfp_231,rxnfp_232,rxnfp_233,rxnfp_234,rxnfp_235,rxnfp_236,rxnfp_237,rxnfp_238,rxnfp_239,rxnfp_240,rxnfp_241,rxnfp_242,rxnfp_243,rxnfp_244,rxnfp_245,rxnfp_246,rxnfp_247,rxnfp_248,rxnfp_249,rxnfp_250,rxnfp_251,rxnfp_252,rxnfp_253,rxnfp_254,rxnfp_255,rxnfp_256
C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O[C@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@H](CO)[C@H](Oc3ccc(O)cc3)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O>>C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O[C@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@H](CO)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,-1.0258426666259766,-1.5963499546051025,-0.24134944379329681,-1.6523154973983765,1.3560458421707153,-0.7744007110595703,-1.022594928741455,0.016551554203033447,-1.3075191974639893,1.5330270528793335,1.3232451677322388,0.3067207932472229,1.7840754985809326,-1.037380337715149,-1.6850441694259644,0.7450339794158936,-0.12475953251123428,2.904801368713379,-1.253479242324829,0.9689095616340637,0.06944651156663895,-1.7743045091629028,1.6353745460510254,-3.7644927501678467,-0.6868361234664917,1.1631642580032349,-0.8469882011413574,1.1529624462127686,-0.30765658617019653,-1.24266517162323,-1.0354818105697632,1.4301764965057373,-0.5451747179031372,0.6406976580619812,1.2903506755828857,1.1440372467041016,0.7083281874656677,2.4747753143310547,0.4708705246448517,1.4428719282150269,-0.49824759364128113,-2.064474582672119,-0.7093724608421326,-0.6161105036735535,1.8783990144729614,0.13006944954395294,-0.5042612552642822,0.5492826104164124,-0.49018123745918274,-1.2945159673690796,0.4146396219730377,-0.11321587860584259,-0.6248326897621155,0.622221052646637,0.6216732263565063,-1.2782009840011597,0.5375785827636719,-0.14771932363510132,0.7161552906036377,-1.4274195432662964,-1.536767840385437,-0.5550222396850586,0.5101837515830994,-1.3566489219665527,0.5042558312416077,0.030560119077563286,-2.568089723587036,-0.5552413463592529,-0.43956267833709717,0.8127646446228027,-2.263246536254883,1.7565984725952148,0.5759577751159668,-1.108920931816101,1.0368943214416504,2.190622091293335,0.1267576962709427,-0.12620696425437927,1.4716993570327759,1.032874345779419,0.17819303274154663,-1.6679816246032715,0.12159039080142975,1.4188202619552612,-0.3099385201931,-0.6437206268310547,2.1711513996124268,0.22790303826332092,-1.9685975313186646,-1.6913094520568848,1.6417992115020752,0.4512680768966675,2.2933051586151123,-0.9948214888572693,1.0134934186935425,-1.0056732892990112,0.9288996458053589,-1.0752036571502686,2.587799310684204,-1.2190170288085938,-1.6665523052215576,-0.41683149337768555,-0.8559563755989075,0.29347726702690125,-0.5024818778038025,0.4279027581214905,0.7405192255973816,3.3750243186950684,1.8908567428588867,1.202762246131897,-0.4883175790309906,-0.20325180888175964,1.4795361757278442,-1.703562617301941,0.909653902053833,1.48751962184906,1.2090917825698853,0.5484488606452942,-0.6360810399055481,0.1001126766204834,1.8915923833847046,3.1677165031433105,0.015933305025100708,2.5261874198913574,-1.1461067199707031,-1.8404028415679932,0.058237314224243164,-0.6003538966178894,-0.7486199736595154,-1.4390019178390503,2.0613389015197754,1.8961063623428345,-3.0595171451568604,2.869375705718994,0.6762291193008423,-0.4750923812389374,0.4019705057144165,0.35458263754844666,-2.2051968574523926,0.5622904300689697,2.4706342220306396,-0.8082230687141418,1.1733102798461914,-0.3355568051338196,1.3128455877304077,-0.9608193635940552,-0.10567738115787506,1.0564579963684082,0.7208475470542908,0.48950934410095215,-0.10735667496919632,2.2288384437561035,-0.5825914144515991,0.8773362040519714,-0.4656197130680084,-1.0048601627349854,0.29776933789253235,1.5684586763381958,0.06852389127016068,-0.554283618927002,2.6026453971862793,-1.4585485458374023,-1.63983154296875,-1.1783565282821655,1.3020492792129517,0.28535157442092896,-2.204683542251587,-0.523833692073822,1.1076312065124512,0.44502195715904236,-1.706305742263794,0.07795388996601105,-0.29304981231689453,-1.246745228767395,-0.6330786943435669,1.4509670734405518,0.9220358729362488,-2.3625545501708984,-2.318718194961548,-0.8957484364509583,-0.5419137477874756,1.4468469619750977,0.5151681900024414,-2.293767213821411,-0.22727882862091064,1.4984817504882812,2.276261806488037,-2.1110825538635254,1.9985307455062866,0.9993625283241272,1.4356474876403809,0.09807418286800385,-2.1033825874328613,0.7645123600959778,0.08105704188346863,0.04895211383700371,-1.5558089017868042,-1.503409504890442,-1.1721912622451782,-0.044441431760787964,-1.761932611465454,0.4787789583206177,1.2995858192443848,-0.9841479063034058,1.271112322807312,-2.2020816802978516,-1.035460352897644,0.7163718938827515,-0.9947588443756104,1.1754496097564697,-1.0922331809997559,-1.6867965459823608,1.5743881464004517,-1.1062818765640259,-2.293951988220215,1.2919577360153198,-0.17922082543373108,-1.551446795463562,-0.8072077035903931,-0.4795021712779999,-1.2834619283676147,-1.1948422193527222,-1.187842845916748,-0.7007136344909668,-1.7964119911193848,-1.3208849430084229,0.12856042385101318,-0.08580152690410614,-0.7193251848220825,0.5601590871810913,0.20532840490341187,1.0384947061538696,-0.057089533656835556,0.9319926500320435,0.6379991769790649,-1.8633917570114136,2.155031204223633,-1.1003899574279785,1.9620087146759033,0.25123587250709534,-1.7217985391616821,1.4567750692367554,0.0685727670788765,-0.6395384073257446,0.12414845824241638,2.991821765899658,1.080658197402954,0.24889394640922546,1.6425721645355225,-0.19293582439422607,0.88202965259552,-0.5096607804298401,-1.7775545120239258,-1.6419682502746582,-0.5852252244949341,-1.4096797704696655
C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc([N+](=O)[O-])cc1,-0.931559145450592,-1.858367919921875,-1.426747441291809,-2.4667091369628906,1.6651504039764404,-0.7247518301010132,-0.0659518837928772,0.31876450777053833,-0.7222118973731995,2.202850341796875,3.3274121284484863,-0.14008405804634094,1.5841914415359497,-1.116877794265747,-0.8821931481361389,1.7433490753173828,-1.008791446685791,0.8414427638053894,0.8608542680740356,1.4691179990768433,2.458944082260132,-0.27740150690078735,0.26208582520484924,-1.778489351272583,-0.582353949546814,2.606095552444458,0.06704635918140411,0.9195729494094849,-2.2481319904327393,0.2706270217895508,-0.3274989724159241,0.767925500869751,-0.42275381088256836,-0.5571825504302979,1.5217639207839966,0.5784637331962585,1.918380856513977,1.7945756912231445,0.2932748794555664,0.452273964881897,-1.3414968252182007,-0.05852944031357765,1.6106311082839966,0.6965612769126892,-0.03723897039890289,1.0579016208648682,1.0748621225357056,1.6224124431610107,-0.5661397576332092,-1.341090202331543,0.36933866143226624,-1.2928705215454102,0.17131046950817108,-1.0786004066467285,-0.41114646196365356,-1.2570619583129883,2.0743296146392822,-1.2458139657974243,0.7331843972206116,-1.5636951923370361,-1.4812620878219604,2.432978868484497,2.35017466545105,-1.195786714553833,-1.4460179805755615,0.6067990064620972,-2.1468586921691895,0.09988172352313995,-0.47146105766296387,0.6746079921722412,-3.5886592864990234,-0.26899293065071106,0.32861563563346863,-1.6693284511566162,1.7947851419448853,1.3086419105529785,0.4711044728755951,0.32142770290374756,1.679425835609436,-0.27736127376556396,0.2969851493835449,-0.8502975702285767,-0.3653949499130249,-1.5289217233657837,0.8860304951667786,-1.6630522012710571,1.8589242696762085,-0.8352953791618347,-0.9067341089248657,1.6791224479675293,0.21708305180072784,2.5168962478637695,1.349566102027893,-0.46216970682144165,2.2249948978424072,-1.7627354860305786,1.8788549900054932,0.7040908336639404,3.1075174808502197,-1.158923864364624,-0.8186672925949097,-1.9531406164169312,-1.053520679473877,-0.16691815853118896,0.25220027565956116,1.1027028560638428,1.4690512418746948,1.5412200689315796,1.646514892578125,-0.48871394991874695,-0.8550630211830139,0.8130684494972229,-0.08652617782354355,-1.4016226530075073,-0.46666690707206726,1.034517765045166,1.293165922164917,-1.4074424505233765,0.7465783953666687,-0.7335106134414673,1.7536489963531494,2.1046385765075684,1.1289396286010742,1.6786439418792725,-0.29751843214035034,-1.81482994556427,-1.8311259746551514,0.20266233384609222,-0.04863428324460983,-1.6601959466934204,-0.4771935045719147,-1.0719984769821167,-1.4561283588409424,0.9453996419906616,-0.01492108404636383,0.13802272081375122,-1.3257548809051514,-1.0546753406524658,-3.4073739051818848,-0.9703006744384766,1.528270959854126,-1.5086100101470947,0.4950540363788605,-0.6235252618789673,2.321455240249634,-2.550539255142212,0.2002028226852417,0.12454286217689514,0.6464925408363342,-2.0158252716064453,2.0953917503356934,1.9736292362213135,0.9589030146598816,2.4037046432495117,0.8517047762870789,0.8118872046470642,1.441806435585022,1.0727931261062622,1.137674331665039,1.3294122219085693,1.8092994689941406,-0.8096694946289062,-1.467961311340332,-0.7817661762237549,2.5318920612335205,0.9493212699890137,1.0839614868164062,1.0991281270980835,2.223046064376831,-1.3056913614273071,-1.7967228889465332,-1.0555869340896606,-0.5670100450515747,0.1776966005563736,0.9057915210723877,0.21365924179553986,1.007254719734192,-3.372849225997925,-1.5396268367767334,-0.5067247152328491,0.31420913338661194,1.5412065982818604,-0.5109695196151733,-2.4364728927612305,1.1892215013504028,0.027966853231191635,-0.6134649515151978,-0.9091525673866272,2.0951077938079834,0.6042661070823669,1.3380488157272339,-1.228114128112793,-1.337600827217102,-0.47499391436576843,0.549326479434967,-0.41878047585487366,-1.5321173667907715,-0.899245023727417,-0.5421756505966187,-0.5834845900535583,-4.133151531219482,-0.3197929561138153,0.16512590646743774,-0.6317447423934937,0.8364621996879578,-2.384071111679077,-0.7794145345687866,-0.5963232517242432,-0.8156012892723083,-1.5136938095092773,0.3813324570655823,-0.8801555037498474,0.14733834564685822,-1.9027501344680786,0.32389360666275024,1.8467273712158203,-0.7824466228485107,-1.1302611827850342,-1.041217565536499,-0.10926084965467453,1.1550252437591553,-1.7651835680007935,0.4590432643890381,-1.7005082368850708,-0.26531195640563965,-0.2834029197692871,-0.521407425403595,-0.39308446645736694,-0.2545497417449951,0.4942077100276947,-0.307913601398468,1.97492516040802,0.031775958836078644,-0.10867458581924438,0.4799445867538452,0.33184993267059326,0.15542805194854736,-1.1479570865631104,-0.006689742207527161,-1.2362918853759766,-0.7708569169044495,-1.1189994812011719,-0.03358447924256325,1.0629597902297974,-1.900103211402893,0.17969095706939697,-1.7004048824310303,-0.25446411967277527,2.2583510875701904,0.33242350816726685,1.2701466083526611,-1.2530760765075684,0.3445394039154053,0.7610145807266235,-0.6260966062545776,0.1288255751132965
C[C@@H]1O[C@H](O)[C@@H](O)[C@H](OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)[C@@H]1O>>C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O,-1.1722087860107422,0.12641683220863342,-0.06531167775392532,-1.983899474143982,2.1726584434509277,-1.2793668508529663,-0.5059995055198669,1.254568338394165,-1.9550400972366333,2.1997756958007812,2.1676039695739746,0.4072303771972656,0.7122789025306702,-1.8656492233276367,-0.9902939200401306,0.9961959719657898,0.5593659281730652,2.9061710834503174,-0.2699410915374756,0.6913036108016968,1.0888850688934326,-2.1277334690093994,0.8435510993003845,-3.017519235610962,-0.8376570343971252,1.3619729280471802,-1.1654738187789917,2.101287603378296,-0.18127787113189697,0.30226898193359375,-0.9560884237289429,0.2019028663635254,-0.3322063386440277,0.7373664379119873,2.275697708129883,1.402737021446228,1.2206192016601562,1.5780421495437622,0.19773657619953156,0.5724920630455017,-0.23938319087028503,-1.858200192451477,0.7476625442504883,-0.3241454064846039,0.5051237940788269,0.8845292329788208,1.7553461790084839,0.3808816075325012,-0.7239566445350647,-1.8172825574874878,0.7956768274307251,0.24936194717884064,0.4134359359741211,0.3075107932090759,1.5992697477340698,0.4048379361629486,1.370436191558838,0.13073615729808807,-0.08987685292959213,-1.36750066280365,-1.9676237106323242,-0.46192479133605957,0.3457881212234497,-1.0915639400482178,0.2860261797904968,0.4426908791065216,-2.366806745529175,-0.2988058626651764,-0.18828511238098145,0.7259340882301331,-2.124333620071411,1.8284015655517578,-1.4323034286499023,-1.42082941532135,0.7214717268943787,2.141629934310913,-0.7632980942726135,-0.8382742404937744,1.2993628978729248,0.3518141806125641,-0.30100882053375244,-2.0598227977752686,0.08706483244895935,0.7476453185081482,-0.04008911922574043,-1.0243079662322998,1.7542059421539307,-0.298462837934494,-0.5092541575431824,0.3567033112049103,1.8153027296066284,0.3939041495323181,1.2179279327392578,-1.7627129554748535,3.050537347793579,-1.2628552913665771,2.0136637687683105,-0.711520254611969,3.047691822052002,-0.7838172912597656,-1.7113126516342163,-0.27329662442207336,-0.5318585634231567,-0.24307700991630554,-0.5219319462776184,0.716658353805542,0.9830862283706665,3.008981466293335,1.6839261054992676,1.3616337776184082,0.49019134044647217,-0.46633368730545044,0.9124919176101685,-1.729100227355957,0.9786195755004883,1.029215693473816,1.868827223777771,-1.0693461894989014,0.2452976256608963,-0.8053849935531616,1.3786863088607788,3.269650936126709,-0.42332425713539124,1.9424785375595093,-1.1577668190002441,-1.573323369026184,-0.8858009576797485,0.7419726848602295,0.31637758016586304,-2.885258913040161,0.5647602677345276,0.7543125152587891,-2.4342894554138184,1.8577077388763428,1.089201807975769,0.10371889919042587,-0.39441269636154175,1.2500038146972656,-2.4990086555480957,-0.0798436850309372,2.793419361114502,-0.24185559153556824,1.5787973403930664,0.06365923583507538,1.8330509662628174,-0.5426710844039917,-0.009691698476672173,-0.017872340977191925,0.759064257144928,-0.15897127985954285,1.4154539108276367,1.8091559410095215,-0.07841750979423523,1.2742273807525635,0.46439582109451294,0.2550962269306183,0.08991654217243195,2.0654802322387695,-0.7534007430076599,-1.514128565788269,1.7646199464797974,-1.986768364906311,-1.6593111753463745,-1.2947145700454712,0.44045764207839966,0.1566925048828125,-1.2970836162567139,1.4208260774612427,0.8152837753295898,1.0858789682388306,-0.4170497953891754,0.33639174699783325,-1.4357503652572632,-0.8960679173469543,0.026944294571876526,-0.030778244137763977,1.2773361206054688,-2.6787285804748535,-2.045308828353882,-2.1269073486328125,-1.006364107131958,1.4733834266662598,-1.2157936096191406,-1.2380328178405762,0.24833914637565613,-0.17694751918315887,2.247525930404663,-1.766629695892334,1.4047917127609253,1.3696160316467285,1.2511872053146362,-0.6146754622459412,-2.329058885574341,0.1114392876625061,-0.14271099865436554,-0.2867940366268158,-1.0436891317367554,-0.4071607291698456,-1.5688366889953613,-0.08972351253032684,-3.066528558731079,0.04876667261123657,1.8746387958526611,-1.3575479984283447,1.0913903713226318,-2.5138418674468994,-0.20090392231941223,0.13649076223373413,-0.5627159476280212,1.1379050016403198,-0.7696654796600342,-0.5300705432891846,0.8712189197540283,-1.5712679624557495,-1.8871668577194214,1.3337591886520386,-1.274255394935608,-1.53769052028656,-2.7451517581939697,-0.5481390953063965,-0.6581228971481323,-1.8055906295776367,-1.3406329154968262,-1.119423270225525,-1.6684362888336182,-0.9067379236221313,-0.6754379272460938,0.49211549758911133,-1.9967122077941895,-0.5139087438583374,0.6499994993209839,1.5713130235671997,0.5047661066055298,0.4091590642929077,1.014380693435669,-1.7671382427215576,1.9130332469940186,-2.7898077964782715,1.6860687732696533,-0.7284692525863647,-0.5760233998298645,-0.08805432915687561,0.7990970611572266,-0.058013878762722015,-0.7556614279747009,0.9572179317474365,-0.24187885224819183,-0.2325352132320404,1.8181685209274292,0.09668856114149094,1.1762360334396362,-0.37027329206466675,-0.6809680461883545,-1.034197449684143,-0.8621495366096497,-1.1242899894714355
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCc1ccc2ccc3cccc4ccc1c2c34>>O=C(O)CCCCCCCCCc1ccc2ccc3cccc4ccc1c2c34,-1.0613865852355957,1.097060203552246,-0.6942254900932312,-0.9620009660720825,3.2835843563079834,-1.7854890823364258,-0.6382914781570435,0.7563942074775696,-1.1302403211593628,0.30889999866485596,0.43674835562705994,0.4272628724575043,1.1791961193084717,-1.6765064001083374,-0.7983682155609131,1.0032192468643188,0.3258948028087616,-0.8078777194023132,-1.2037273645401,0.21135318279266357,0.6976948380470276,0.8065799474716187,-0.7276084423065186,0.27743661403656006,-0.7658195495605469,2.303295850753784,0.16267551481723785,0.9262283444404602,-0.21500912308692932,2.120546340942383,-0.7916045784950256,0.6495141983032227,0.020704790949821472,0.11524984985589981,3.603665828704834,0.11713434010744095,1.942106008529663,-0.15307623147964478,0.26828423142433167,-0.6749356985092163,-0.25806570053100586,-1.3855831623077393,0.5110904574394226,1.107244849205017,-0.005616471171379089,0.46174076199531555,0.9837018847465515,1.0452375411987305,-1.0802801847457886,0.5525836944580078,0.9498752355575562,2.1668944358825684,0.29684919118881226,0.6410977840423584,1.8450602293014526,-2.440521478652954,0.378872811794281,1.143303394317627,1.9464011192321777,-0.27127471566200256,-0.5842555165290833,0.7657603025436401,2.0264182090759277,-0.6894224882125854,1.1528215408325195,1.4206267595291138,-1.6246163845062256,-0.1810743510723114,0.8897743821144104,1.9823685884475708,-1.2020692825317383,0.7364919781684875,-1.555773377418518,-0.20457036793231964,0.5685926675796509,1.9772003889083862,-0.4193462133407593,-0.914857029914856,-0.604786217212677,0.33466798067092896,-2.1364307403564453,-1.13486909866333,-0.32500192523002625,-0.056381285190582275,-0.35522690415382385,-1.6026734113693237,1.166149616241455,-1.0154823064804077,-1.2719148397445679,-0.4096377193927765,0.5525256395339966,1.3585264682769775,-1.6395456790924072,-2.503025531768799,3.1689655780792236,0.1445600539445877,0.5558595061302185,0.019877802580595016,1.0662044286727905,0.18228009343147278,-0.16040562093257904,-0.502038836479187,-0.4911048412322998,-0.40919584035873413,0.8656299114227295,1.774622917175293,0.09185905754566193,2.444636106491089,0.8642113208770752,0.4903036057949066,0.3180665075778961,-0.5509816408157349,1.695734977722168,-0.6577706336975098,1.4255614280700684,0.5088942646980286,0.8523487448692322,0.7534263730049133,-0.32298552989959717,-2.549926996231079,1.680491328239441,1.5859678983688354,-0.375448614358902,0.7685881853103638,0.15381091833114624,-0.2900109887123108,0.1513025164604187,1.0422097444534302,0.0937514528632164,-2.620432138442993,1.523183822631836,1.5726938247680664,-0.9988954067230225,1.550532341003418,-0.23670199513435364,0.39476895332336426,-2.9148576259613037,1.0069468021392822,0.0720200389623642,-0.7488067746162415,1.9717724323272705,-1.1208053827285767,0.6297914981842041,1.5770647525787354,1.7784318923950195,2.7623133659362793,2.3397114276885986,1.6989599466323853,-1.3765827417373657,-1.4984339475631714,-0.6711911559104919,0.2537458539009094,0.5851821303367615,2.2066993713378906,0.03180970251560211,-1.7755118608474731,1.181398630142212,1.0952210426330566,-1.5911552906036377,-1.117828369140625,1.3795487880706787,-0.7826399803161621,-1.6397367715835571,-2.4673068523406982,1.2012901306152344,-0.685051679611206,-3.030590534210205,0.982652485370636,0.726397693157196,0.6132544875144958,-0.07881718873977661,0.34248748421669006,-0.5112184286117554,0.4991111159324646,1.2150243520736694,-0.8403693437576294,1.1514533758163452,-3.1613314151763916,-0.6306060552597046,-1.5023876428604126,-1.0571908950805664,1.4005780220031738,-0.4287573993206024,-2.192319393157959,0.9221757054328918,1.4093749523162842,-0.11206157505512238,-1.020991325378418,1.4285811185836792,-1.355463981628418,0.4898515045642853,1.1433515548706055,-0.4425485134124756,-0.8669264316558838,0.16674190759658813,1.0597238540649414,-1.3295352458953857,-1.448448657989502,-0.20019029080867767,-2.7779688835144043,-3.0258731842041016,1.032588005065918,1.2464122772216797,-1.2498762607574463,-0.815364420413971,-2.945089340209961,1.3528993129730225,0.38596317172050476,-1.8783111572265625,-0.7166861295700073,1.4517260789871216,-2.8427934646606445,0.27379944920539856,-0.43792402744293213,-1.2163004875183105,1.3887255191802979,-0.10034498572349548,1.1022768020629883,-1.7048193216323853,0.4868444800376892,-0.7651907205581665,-2.1385960578918457,-1.0767312049865723,-1.0201363563537598,-2.4036858081817627,1.6768529415130615,-0.8019735217094421,0.21259021759033203,-3.1901867389678955,0.8903255462646484,-0.7416452169418335,0.6239327192306519,-1.6335415840148926,-0.5563763976097107,-0.12551631033420563,-2.5414621829986572,0.36611083149909973,-1.0894157886505127,0.7500550746917725,-1.935515284538269,-0.32876455783843994,1.774191975593567,-0.48252639174461365,1.2065956592559814,-0.8497938513755798,0.6381726264953613,0.5086560845375061,-1.0681495666503906,3.5700573921203613,-0.058240607380867004,-0.13774682581424713,-0.5886458158493042,-1.7015091180801392,-1.9053399562835693,-1.0578874349594116,-1.0346088409423828
